signing_team,season_year,count_within_division,count_cross_division,count_cross_conference,total_signing_count,pct_cross_conference,any_cross_conference,offseason_data_pending
NYI,2022,0,0,2,3,0.6666666666666666,TRUE,FALSE
NYR,2022,4,1,3,8,0.375,TRUE,FALSE
OTT,2022,3,1,4,9,0.4444444444444444,TRUE,FALSE
PHI,2022,1,1,3,6,0.5,TRUE,FALSE
PIT,2022,0,4,1,6,0.16666666666666666,TRUE,FALSE
SEA,2022,1,3,8,14,0.5714285714285714,TRUE,FALSE
SJS,2022,1,3,5,9,0.5555555555555556,TRUE,FALSE
STL,2022,0,2,5,8,0.625,TRUE,FALSE
TBL,2022,0,1,4,5,0.8,TRUE,FALSE
TOR,2022,2,1,4,7,0.5714285714285714,TRUE,FALSE
VAN,2022,1,3,3,8,0.375,TRUE,FALSE
VGK,2022,2,1,1,7,0.14285714285714285,TRUE,FALSE
WPG,2022,2,1,3,6,0.5,TRUE,FALSE
WSH,2022,0,0,0,0,0,FALSE,FALSE
ANA,2023,0,1,5,6,0.8333333333333334,TRUE,FALSE
ARI,2023,5,5,3,13,0.23076923076923078,TRUE,FALSE
BOS,2023,2,4,3,9,0.3333333333333333,TRUE,FALSE
BUF,2023,1,2,2,5,0.4,TRUE,FALSE
CAR,2023,2,1,1,8,0.125,TRUE,FALSE
CBJ,2023,0,0,0,0,0,FALSE,FALSE
CGY,2023,0,1,2,6,0.3333333333333333,TRUE,FALSE
CHI,2023,0,1,0,1,0,FALSE,FALSE
COL,2023,3,0,8,16,0.5,TRUE,FALSE
DAL,2023,3,0,3,7,0.42857142857142855,TRUE,FALSE
DET,2023,3,5,5,13,0.38461538461538464,TRUE,FALSE
EDM,2023,0,4,5,9,0.5555555555555556,TRUE,FALSE
FLA,2023,1,3,8,14,0.5714285714285714,TRUE,FALSE
LAK,2023,3,5,1,9,0.1111111111111111,TRUE,FALSE
MIN,2023,1,0,2,4,0.5,TRUE,FALSE
MTL,2023,0,0,2,3,0.6666666666666666,TRUE,FALSE
NJD,2023,1,3,3,9,0.3333333333333333,TRUE,FALSE
NSH,2023,3,0,5,11,0.45454545454545453,TRUE,FALSE
NYI,2023,1,1,1,6,0.16666666666666666,TRUE,FALSE
NYR,2023,1,3,3,7,0.42857142857142855,TRUE,FALSE
OTT,2023,0,2,3,8,0.375,TRUE,FALSE
PHI,2023,1,3,1,5,0.2,TRUE,FALSE
