season_year,teamTriCode,teamCommonName,conferenceAbbrev,divisionAbbrev,gamesPlayed,wins,losses,otLosses,points,goalFor,goalAgainst,goalDifferential,points_percentage,season_type,prior_season_year,total_mis,total_aav_spent,signing_count,signing_count_tier1,signing_count_tier2,signing_count_tier3,signing_count_tier4,has_goalie_signing,offseason_data_pending,total_aav_committed,total_contract_value,signing_count_cap,cap_ceiling,cap_ceiling_change,cap_spending_pct,near_cap_floor,heavy_spender,count_within_division,count_cross_division,count_cross_conference,total_signing_count,pct_cross_conference,any_cross_conference,net_total_aav_committed,total_aav_lost,net_aav,mean_contract_years,max_contract_years,count_long_term,weighted_avg_years,total_ufa_decisions,count_re_signed,count_new_signings,pct_retained,aav_retained,aav_new,pct_aav_retained,no_ufa_activity,prior_season_points_pct,mis_index
2018,STL,Blues,W,C,82,44,32,6,94,226,222,4,0.573171,standard,2017,976527.45,5026211,8,1,2,1,1,TRUE,FALSE,5026211,21400000,8,79500000,4500000,0.06322277987421383,FALSE,FALSE,1,2,5,8,0.625,TRUE,5026211,4550000,476211,1.375,3,0,1.134497338054451,8,0,8,0,0,5026211,0,FALSE,0.603659,40.1
2018,TBL,Lightning,E,A,82,54,23,5,113,296,236,60,0.689024,standard,2017,162500,650000,1,0,1,0,0,FALSE,FALSE,650000,650000,1,79500000,4500000,0.00817610062893081,TRUE,FALSE,0,1,0,1,0,FALSE,650000,3251616,-2601616,1,1,0,1,1,0,1,0,0,650000,0,FALSE,0.573171,6.7
2018,TOR,Maple Leafs,E,A,82,49,26,7,105,277,232,45,0.640244,standard,2017,650000.2214,4550001.107,8,0,2,2,1,FALSE,FALSE,4550001.107,81550000,8,79500000,4500000,0.05723271832704402,FALSE,FALSE,1,3,4,9,0.4444444444444444,TRUE,4550001.107,3551518,998483.1069999998,1.75,7,1,1.0000014597798643,8,0,8,0,0,4550001.107,0,FALSE,0.579268,26.7
2018,VAN,Canucks,W,P,82,31,40,11,73,218,264,-46,0.445122,standard,2017,380091.8,1900612,3,0,0,1,2,FALSE,FALSE,1900612,27800000,3,79500000,4500000,0.02390706918238993,TRUE,FALSE,0,1,2,3,0.6666666666666666,TRUE,1900612,1300000,600612,3.3333333333333335,4,0,2.000644003089531,3,0,3,0,0,1900612,0,FALSE,0.420732,15.6
2018,VGK,Golden Knights,W,P,82,51,24,7,109,272,228,44,0.664634,standard,2017,2432500,11500000,6,1,1,2,2,TRUE,FALSE,11500000,27450000,6,79500000,4500000,0.14465408805031446,FALSE,FALSE,0,2,4,10,0.4,TRUE,11500000,14325000,-2825000,1.6666666666666667,3,0,2.38695652173913,10,4,6,0.4,2600000,11500000,0.18439716312056736,FALSE,0.5587398333333333,100
2018,WPG,Jets,W,C,82,52,20,10,114,277,218,59,0.695122,standard,2017,552500,1950000,3,2,0,0,1,TRUE,FALSE,1950000,1950000,3,79500000,4500000,0.02452830188679245,TRUE,FALSE,1,1,2,5,0.4,TRUE,1950000,8452115,-6502115,1,1,0,1,4,1,3,0.25,650000,1950000,0.25,FALSE,0.530488,22.7
2018,WSH,Capitals,E,M,82,49,26,7,105,259,239,20,0.640244,standard,2017,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,79500000,4500000,0,TRUE,FALSE,0,0,0,0,0,FALSE,1950106,1950412,-306,1,1,0,1,4,0,4,0,0,1950106,0,FALSE,0.719512,0
2019,ANA,Ducks,W,P,82,35,37,10,80,199,251,-52,0.487805,standard,2018,600423,2252115,6,1,2,2,1,TRUE,FALSE,2252115,5100000,6,81500000,2000000,0.02763331288343558,TRUE,FALSE,1,2,3,6,0.5,TRUE,2252115,3851410,-1599295,1.1666666666666667,2,0,1.333020294256732,6,0,6,0,0,2252115,0,FALSE,0.615854,22.4
2019,ARI,Coyotes,W,P,82,39,35,8,86,213,223,-10,0.52439,standard,2018,181250,725000,1,0,1,0,0,FALSE,FALSE,725000,1450000,1,81500000,2000000,0.00889570552147239,TRUE,FALSE,0,0,1,1,1,TRUE,725000,3501728,-2776728,2,2,0,2,1,0,1,0,0,725000,0,FALSE,0.426829,6.8
2019,BOS,Bruins,E,A,82,49,24,9,107,259,215,44,0.652439,standard,2018,340509.4,1702926,6,1,1,1,1,TRUE,FALSE,1702926,5500000,6,81500000,2000000,0.02089479754601227,TRUE,FALSE,0,0,6,6,1,TRUE,1702926,15168882,-13465956,1,1,0,1,6,0,6,0,0,1702926,0,FALSE,0.682927,12.7
2019,BUF,Sabres,E,A,82,33,39,10,76,226,271,-45,0.463415,standard,2018,675564,13502115,6,1,1,1,0,TRUE,FALSE,13502115,29100000,6,81500000,2000000,0.1656701226993865,FALSE,TRUE,4,1,1,6,0.16666666666666666,TRUE,13502115,2051410,11450705,1.5,2,0,1.9998433578739332,6,0,6,0,0,13502115,0,FALSE,0.378049,25.2
2019,CAR,Hurricanes,E,M,82,46,29,7,99,245,223,22,0.603659,standard,2018,1459032,11526410,6,0,2,0,2,FALSE,FALSE,11526410,31825000,6,81500000,2000000,0.1414283435582822,FALSE,FALSE,2,2,2,8,0.25,TRUE,11526410,9053525,2472885,1.8333333333333333,4,0,2.639712625179913,8,2,6,0.25,3125705,11526410,0.21332790522050912,FALSE,0.506098,54.3
2019,CBJ,Blue Jackets,E,M,82,47,31,4,98,258,232,26,0.597561,standard,2018,933870.75,17227415,7,0,0,0,1,FALSE,FALSE,17227415,69850000,7,81500000,2000000,0.21137932515337424,FALSE,TRUE,0,0,7,7,1,TRUE,17227415,20870986,-3643571,2.4285714285714284,4,0,3.915411279057247,7,0,7,0,0,17227415,0,FALSE,0.591463,34.8
2019,CGY,Flames,W,P,82,50,25,7,107,289,227,62,0.652439,standard,2018,963028.75,2752820,5,1,1,1,2,TRUE,FALSE,2752820,5550000,5,81500000,2000000,0.03377693251533742,TRUE,FALSE,1,2,2,6,0.3333333333333333,TRUE,2752820,2351716,401104,1,1,0,1,6,1,5,0.16666666666666666,705,2752820,2.5603544547443734e-4,FALSE,0.512195,35.9
2019,CHI,Blackhawks,W,C,82,36,34,12,84,270,292,-22,0.512195,standard,2018,198.3,612,2,1,0,1,0,TRUE,FALSE,612,8000000,2,81500000,2000000,7.50920245398773e-6,TRUE,FALSE,0,1,1,3,0.3333333333333333,TRUE,612,751410,-750798,2,3,0,1.34640522875817,3,1,2,0.3333333333333333,106,612,0.14763231197771587,FALSE,0.463415,0
2019,COL,Avalanche,W,C,82,38,30,14,90,260,246,14,0.54878,standard,2018,842958.25,7352115,7,0,1,2,2,FALSE,FALSE,7352115,24450000,7,81500000,2000000,0.09021,FALSE,FALSE,1,4,2,8,0.25,TRUE,7352115,4337,7347778,1.8571428571428572,4,0,2.9451144330576984,8,1,7,0.125,2600000,7352115,0.2612510004154896,FALSE,0.579268,31.4
2019,DAL,Stars,W,C,82,43,32,7,93,210,202,8,0.567073,standard,2018,372622.1,2239118,5,0,1,1,1,FALSE,FALSE,2239118,46975000,5,81500000,2000000,0.02747384049079754,TRUE,FALSE,0,5,0,6,0,FALSE,2239118,2752728,-513610,2,3,0,1.3306319720532818,6,1,5,0.16666666666666666,705,2239118,3.147570142819321e-4,FALSE,0.560976,13.9
2019,DET,Red Wings,E,A,82,32,40,10,74,227,277,-50,0.45122,standard,2018,262637.7,750612,3,1,1,1,0,TRUE,FALSE,750612,13500000,3,81500000,2000000,0.00920996319018404,TRUE,FALSE,0,1,2,3,0.6666666666666666,TRUE,750612,1410,749202,2,2,0,2,3,0,3,0,0,750612,0,FALSE,0.445122,9.8
2019,EDM,Oilers,W,P,82,35,38,9,79,232,274,-42,0.481707,standard,2018,260223.75,1301217,4,1,0,1,2,TRUE,FALSE,1301217,5200000,4,81500000,2000000,0.01596585276073619,TRUE,FALSE,2,1,1,5,0.2,TRUE,1301217,752321,548896,1,1,0,1,5,1,4,0.2,2150000,1301217,0.6229686513482056,FALSE,0.47561,9.7
2019,FLA,Panthers,E,A,82,36,32,14,86,267,280,-13,0.52439,standard,2018,2685117.6,18347479,11,2,3,2,0,TRUE,FALSE,18347479,125830000,11,81500000,2000000,0.22512244171779144,FALSE,TRUE,2,5,4,11,0.3636363636363637,TRUE,18347479,751610,17595869,2.636363636363636,7,1,3.00485178372462,11,0,11,0,0,18347479,0,FALSE,0.585366,100
2019,LAK,Kings,W,P,82,31,42,9,71,202,263,-61,0.432927,standard,2018,556461.5,2226410,4,0,2,0,2,FALSE,FALSE,2226410,3625000,4,81500000,2000000,0.02731791411042945,TRUE,FALSE,2,1,1,4,0.25,TRUE,2226410,2820,2223590,1,1,0,1,4,0,4,0,0,2226410,0,FALSE,0.597561,20.7
2019,MIN,Wild,W,C,82,37,36,9,83,211,237,-26,0.506098,standard,2018,285342.6,1902622,5,0,0,2,1,FALSE,FALSE,1902622,66600000,5,81500000,2000000,0.02334505521472392,TRUE,FALSE,4,0,1,5,0.2,TRUE,1902622,2820,1899802,3.2,5,2,2.0019110469657138,5,0,5,0,0,1902622,0,FALSE,0.615854,10.6
2019,MTL,Canadiens,E,A,82,44,30,8,96,249,236,13,0.585366,standard,2018,1487863.1,5252327,7,1,1,1,2,TRUE,FALSE,5252327,16350000,7,81500000,2000000,0.0644457300613497,FALSE,FALSE,0,3,4,7,0.5714285714285714,TRUE,5252327,911,5251416,1.2857142857142858,3,0,2.3327426110369744,7,0,7,0,0,5252327,0,FALSE,0.432927,55.4
2019,NJD,Devils,E,M,82,31,41,10,72,222,275,-53,0.439024,standard,2018,113079.35,753127,6,0,3,0,1,FALSE,FALSE,753127,13550000,6,81500000,2000000,0.00924082208588957,TRUE,FALSE,0,1,5,6,0.8333333333333334,TRUE,753127,739615,13512,1.1666666666666667,2,0,1.0009360970991612,6,0,6,0,0,753127,0,FALSE,0.591463,4.2
2019,NSH,Predators,W,C,82,47,29,6,100,240,214,26,0.609756,standard,2018,150186.35,752317,4,0,0,1,1,FALSE,FALSE,752317,113450000,4,81500000,2000000,0.00923088343558282,TRUE,FALSE,0,1,3,4,0.75,TRUE,752317,1883127,-1130810,4,7,2,1.0128562826574437,4,0,4,0,0,752317,0,FALSE,0.713415,5.6
2019,NYI,Islanders,E,M,82,48,27,7,103,228,196,32,0.628049,standard,2018,529.5999999999999,1916,3,2,0,0,1,TRUE,FALSE,1916,22100000,3,81500000,2000000,2.350920245398773e-5,TRUE,FALSE,1,0,2,5,0.4,TRUE,1916,812,1104,2.3333333333333335,4,0,2.1602296450939455,5,2,3,0.4,1412,1916,0.42427884615384615,FALSE,0.487805,0
2019,NYR,Rangers,E,M,82,32,36,14,78,227,272,-45,0.47561,standard,2018,1896675.3,12394267,4,0,0,2,2,FALSE,FALSE,12394267,83650000,4,81500000,2000000,0.15207689570552146,FALSE,TRUE,2,0,2,4,0.5,TRUE,12394267,1751410,10642857,2.5,7,1,6.636246338730641,4,0,4,0,0,12394267,0,FALSE,0.469512,70.6
2019,OTT,Senators,E,A,82,29,47,6,64,242,302,-60,0.390244,standard,2018,875241.5,3503220,5,0,1,0,1,FALSE,FALSE,3503220,6700000,5,81500000,2000000,0.0429842944785276,TRUE,FALSE,5,0,0,5,0,FALSE,3503220,725000,2778220,1,1,0,1,5,0,5,0,0,3503220,0,FALSE,0.408537,32.6
2019,PHI,Flyers,E,M,82,37,37,8,82,244,281,-37,0.5,standard,2018,300881.25,1503525,7,1,4,0,2,TRUE,FALSE,1503525,7850000,7,81500000,2000000,0.01844815950920245,TRUE,FALSE,3,1,3,7,0.42857142857142855,TRUE,1503525,2754230,-1250705,1.5714285714285714,2,0,1.5002344490447448,7,0,7,0,0,1503525,0,FALSE,0.597561,11.2
2019,PIT,Penguins,E,M,82,44,26,12,100,273,241,32,0.609756,standard,2018,525282,10501410,5,0,1,0,1,FALSE,FALSE,10501410,65800000,5,81500000,2000000,0.12885165644171778,FALSE,FALSE,0,0,5,5,1,TRUE,10501410,1450705,9050705,4.4,6,3,5.999462929263784,5,0,5,0,0,10501410,0,FALSE,0.609756,19.6
2019,SJS,Sharks,W,P,82,46,27,9,101,289,261,28,0.615854,standard,2018,412.75,2920,4,0,1,1,0,FALSE,FALSE,2920,2900000,4,81500000,2000000,3.58282208588957e-5,TRUE,FALSE,2,0,2,6,0.3333333333333333,TRUE,2920,21127117,-21124197,1,1,0,1,6,2,4,0.3333333333333333,960206,2920,0.9969682056138034,FALSE,0.609756,0
2019,STL,Blues,W,C,82,45,28,9,99,247,223,24,0.603659,standard,2018,113205,753525,6,0,2,1,3,FALSE,FALSE,753525,4950000,6,81500000,2000000,0.00924570552147239,TRUE,FALSE,0,2,4,6,0.6666666666666666,TRUE,753525,751410,2115,1.1666666666666667,2,0,1.000935602667463,6,0,6,0,0,753525,0,FALSE,0.573171,4.2
2019,TBL,Lightning,E,A,82,62,16,4,128,325,222,103,0.780488,standard,2018,1218628,4354230,9,3,4,2,0,TRUE,FALSE,4354230,10550000,9,81500000,2000000,0.05342613496932515,FALSE,FALSE,5,2,2,9,0.2222222222222222,TRUE,4354230,6250705,-1896475,1.2222222222222223,2,0,1.2987221621274023,9,0,9,0,0,4354230,0,FALSE,0.689024,45.4
2019,TOR,Maple Leafs,E,A,82,46,28,8,100,286,251,35,0.609756,standard,2018,219939,1465320,6,0,1,2,3,FALSE,FALSE,1465320,5000000,6,81500000,2000000,0.01797938650306748,TRUE,FALSE,0,2,4,6,0.6666666666666666,TRUE,1465320,7553120,-6087800,1.1666666666666667,2,0,1.5033030327846475,6,0,6,0,0,1465320,0,FALSE,0.640244,8.2
2019,VAN,Canucks,W,P,82,35,36,11,81,225,254,-29,0.493902,standard,2018,563196.5,7852927,8,1,3,1,1,TRUE,FALSE,7852927,64950000,8,81500000,2000000,0.09635493251533744,FALSE,FALSE,2,1,5,8,0.625,TRUE,7852927,3540320,4312607,2.375,5,1,3.674497037856076,8,0,8,0,0,7852927,0,FALSE,0.445122,21
2019,VGK,Golden Knights,W,P,82,43,32,7,93,249,230,19,0.567073,standard,2018,564,2820,4,0,2,0,2,FALSE,FALSE,2820,4200000,4,81500000,2000000,3.460122699386503e-5,TRUE,FALSE,1,0,3,9,0.3333333333333333,TRUE,2820,3327221,-3324401,1.5,2,0,1.5,9,5,4,0.5555555555555556,2325811,2820,0.9987889880363184,FALSE,0.664634,0
2019,WPG,Jets,W,C,82,47,30,5,99,272,244,28,0.603659,standard,2018,423,2115,3,0,1,1,1,FALSE,FALSE,2115,2100000,3,81500000,2000000,2.5950920245398778e-5,TRUE,FALSE,2,0,1,5,0.2,TRUE,2115,15703726,-15701611,1,1,0,1,5,2,3,0.4,811,2115,0.2771701982228298,FALSE,0.695122,0
2019,WSH,Capitals,E,M,82,48,26,8,104,278,249,29,0.634146,standard,2018,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,81500000,2000000,0,TRUE,FALSE,0,0,0,0,0,FALSE,4250705,7727115,-3476410,3,4,0,3.99950243547835,3,0,3,0,0,4250705,0,FALSE,0.640244,0
2020,ANA,Ducks,W,P,71,29,33,9,67,187,226,-39,0.471831,covid_shortened,2019,1775000,7850000,5,0,3,1,1,FALSE,FALSE,7850000,18650000,5,81500000,0,0.09631901840490796,FALSE,FALSE,1,0,4,7,0.5714285714285714,TRUE,7850000,1526410,6323590,1.8,3,0,2.375796178343949,7,2,5,0.2857142857142857,811,7850000,1.0330142962300328e-4,FALSE,0.487805,80.7
2020,ARI,Coyotes,W,P,70,33,29,8,74,195,187,8,0.528571,covid_shortened,2019,622767.95,3901516,6,0,0,3,3,FALSE,FALSE,3901516,9450000,6,81500000,0,0.04787136196319018,TRUE,FALSE,0,0,6,6,1,TRUE,3901516,1930,3899586,1.3333333333333333,2,0,1.8073784651914797,6,0,6,0,0,3901516,0,FALSE,0.52439,28.3
2020,BOS,Bruins,E,A,70,44,14,12,100,227,174,53,0.714286,covid_shortened,2019,310387.75,6201410,4,1,0,1,0,TRUE,FALSE,6201410,20000000,4,81500000,0,0.07609092024539878,FALSE,FALSE,0,2,2,5,0.4,TRUE,6201410,7297115,-1095705,2,3,0,2.99954526470593,5,1,4,0.2,1250000,6201410,0.16775348558192343,FALSE,0.652439,14.1
2020,BUF,Sabres,E,A,69,30,31,8,68,195,217,-22,0.492754,covid_shortened,2019,450644.6,2254432,7,0,2,1,2,FALSE,FALSE,2254432,23300000,7,81500000,0,0.02766174233128834,TRUE,FALSE,0,1,7,9,0.7777777777777778,TRUE,2254432,6877315,-4622883,1.1428571428571428,2,0,1.998034094618955,8,1,7,0.125,705,2254432,3.126195880782409e-4,FALSE,0.463415,20.5
